,Day,Platform,Campaign Name,Campaign Type,Impressions,Clicks,Conversions,Revenue,Spend,Region,AdCreative,CTR,CPA,CPC,CPM
0,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,102704,1593,157,"£3,910.74££",£2101.08,East Midlands,CreativeC,0.015510593550397259,£13.38,£1.32,£20.46
1,01/01/23,YouTube,YouTube-Retargeting,Retargeting,83904,1798,110,"£11,700.93££",£6955.66,East Midlands,CreativeC,0.021429252479023646,£63.23,£3.87,£82.90
2,01/01/23,TikTok,TikTok-Prospecting,Prospecting,77023,2644,261,"£9,756.09££",£1471.76,North East,CreativeB,0.03432740869610376,£5.64,£0.56,£19.11
3,01/01/23,YouTube,YouTube-Retargeting,Retargeting,34385,1570,42,"£4,341.76££",£101.55,London,CreativeC,0.04565944452522903,£2.42,£0.06,£2.95
4,01/01/23,YouTube,YouTube-Prospecting,Prospecting,78641,2731,11,"£8,860.43££",£1337.07,West Midlands,CreativeA,0.034727432255439276,£121.55,£0.49,£17.00
5,01/01/23,Instagram,Instagram-Prospecting,Prospecting,30773,199,69,"£14,827.74££",£790.21,Northern Ireland,CreativeC,0.006466707828291034,£11.45,£3.97,£25.68
6,01/01/23,TikTok,TikTok-Prospecting,Prospecting,5975,1030,23,"£3,436.98££",£4396.73,Yorkshire and the Humber,CreativeA,0.1723849372384937,£191.16,£4.27,£735.85
7,01/01/23,TikTok,TikTok-Prospecting,Prospecting,87179,1678,186,"£9,456.90££",£3296.35,North East,CreativeB,0.019247754619805227,£17.72,£1.96,£37.81
8,01/01/23,TikTok,TikTok-Prospecting,Prospecting,70337,1279,185,"£12,905.36££",£3646.85,Scotland,CreativeC,0.018183886148115502,£19.71,£2.85,£51.85
9,01/01/23,YouTube,YouTube-Retargeting,Retargeting,21580,1870,35,"£4,518.35££",£4888.27,East Midlands,CreativeC,0.08665430954587582,£139.66,£2.61,£226.52
10,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,109234,1957,7,"£13,557.76££",£1046.09,East of England,CreativeC,0.01791566728308036,£149.44,£0.53,£9.58
11,01/01/23,TikTok,TikTok-Prospecting,Prospecting,25177,203,59,"£2,327.64££",£4071.92,East of England,CreativeA,0.008062914564880645,£69.02,£20.06,£161.73
12,01/01/23,YouTube,YouTube-Retargeting,Retargeting,46373,1722,51,"£6,887.01££",£2484.94,South East,CreativeC,0.0371336769240722,£48.72,£1.44,£53.59
13,01/01/23,Instagram,Instagram-Retargeting,Retargeting,116503,569,113,"£15,050.16££",£325.87,Yorkshire and the Humber,CreativeC,0.004883994403577591,£2.88,£0.57,£2.80
14,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,53473,435,38,"£8,711.35££",£2761.98,South West,CreativeA,0.00813494660856881,£72.68,£6.35,£51.65
15,01/01/23,Instagram,Instagram-Retargeting,Retargeting,30913,878,99,"£8,027.44££",£4460.01,West Midlands,CreativeB,0.028402290298579887,£45.05,£5.08,£144.28
16,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,12871,197,59,"£6,332.90££",£1749.13,London,CreativeC,0.015305726050811902,£29.65,£8.88,£135.90
17,01/01/23,YouTube,YouTube-Retargeting,Retargeting,21822,2365,195,"£3,839.86££",£5228.07,South West,CreativeA,0.10837686738154156,£26.81,£2.21,£239.58
18,01/01/23,Facebook,Facebook-Prospecting,Prospecting,12776,1801,203,"£5,437.52££",£3897.58,East Midlands,CreativeB,0.14096743894802755,£19.20,£2.16,£305.07
19,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,96501,1777,198,"£9,612.46££",£7797.06,North West,CreativeA,0.018414316950083418,£39.38,£4.39,£80.80
20,01/01/23,Instagram,Instagram-Retargeting,Retargeting,44216,178,45,"£6,180.07££",£3082.45,Wales,CreativeB,0.004025692057173874,£68.50,£17.32,£69.71
21,01/01/23,YouTube,YouTube-Retargeting,Retargeting,24103,3679,83,"£1,399.18££",£3361.8,South West,CreativeC,0.15263660125295606,£40.50,£0.91,£139.48
22,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,64327,73,128,"£2,891.13££",£6666.99,West Midlands,CreativeB,0.0011348267446018002,£52.09,£91.33,£103.64
23,01/01/23,Facebook,Facebook-Retargeting,Retargeting,76314,697,35,"£3,390.02££",£112.41,Wales,CreativeA,0.009133317608826689,£3.21,£0.16,£1.47
24,01/01/23,Facebook,Facebook-Prospecting,Prospecting,67078,63,237,"£7,914.52££",£2362.89,East of England,CreativeB,0.0009392051045052029,£9.97,£37.51,£35.23
25,01/01/23,TikTok,TikTok-Prospecting,Prospecting,55608,1849,66,"£10,816.55££",£6313.97,West Midlands,CreativeB,0.033250611422816864,£95.67,£3.41,£113.54
26,01/01/23,TikTok,TikTok-Prospecting,Prospecting,79181,1636,228,"£7,780.53££",£1856.48,East Midlands,CreativeA,0.020661522334903575,£8.14,£1.13,£23.45
27,01/01/23,Instagram,Instagram-Retargeting,Retargeting,21533,1033,241,"£1,036.57££",£3720.96,North West,CreativeA,0.0479728788371337,£15.44,£3.60,£172.80
28,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,17571,405,17,"£9,566.23££",£605.33,East of England,CreativeB,0.023049342666894315,£35.61,£1.49,£34.45
29,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,52782,3376,131,"£7,377.02££",£5681.92,East Midlands,CreativeB,0.0639611988935622,£43.37,£1.68,£107.65
30,01/01/23,TikTok,TikTok-Retargeting,Retargeting,43104,2175,18,£837.80££,£8192.39,Northern Ireland,CreativeA,0.05045935412026726,£455.13,£3.77,£190.06
31,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,30045,1152,25,"£5,717.10££",£3344.27,East of England,CreativeB,0.03834248627059411,£133.77,£2.90,£111.31
32,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,33937,2969,54,"£1,219.32££",£596.23,Yorkshire and the Humber,CreativeA,0.08748563514747915,£11.04,£0.20,£17.57
33,01/01/23,Facebook,Facebook-Retargeting,Retargeting,4762,1485,220,"£11,284.85££",£2718.3,Wales,CreativeC,0.3118437631247375,£12.36,£1.83,£570.83
