Player,College
Nikola Jokić,No College
Devin Booker,University of Kentucky
LeBron James,No College
Stephen Curry,Davidson College
Austin Reaves,University of Oklahoma
Michael Porter,University of Missouri
Anthony Davis,University of Kentucky
Kevin Durant,University of Texas at Austin
D'Angelo Russell,Ohio State University
Shai Gilgeous-Alexander,University of Kentucky
Luka Dončić,No College
Cam Thomas,Louisiana State University (LSU)
Donovan Mitchell,University of Louisville
Jayson Tatum,Duke University
Desmond Bane,Texas Christian University (TCU)
Paul George,Fresno State University
Domantas Sabonis,Gonzaga University
Cade Cunningham,Oklahoma State University
Tyrese Haliburton,Iowa State University
Bam Adebayo,University of Kentucky
Kyle Kuzma,University of Utah
Kawhi Leonard,San Diego State University
Devin Vassell,Florida State University
Mikal Bridges,Villanova University
Terry Rozier,University of Louisville
Zion Williamson,Duke University
Lauri Markkanen,University of Arizona
Scottie Barnes,Florida State University
Anthony Edwards,University of Georgia
Tim Hardaway,University of Michigan
Franz Wagner,University of Michigan
DeMar DeRozan,University of Southern California (USC)
Paolo Banchero,Duke University
Alperen Şengün,No College
Jalen Williams,University of Arkansas
Trae Young,University of Oklahoma
De'Aaron Fox,University of Kentucky
Brandon Ingram,Duke University
Julius Randle,New Mexico State University
Pascal Siakam,University of North Carolina at Chapel Hill (UNC)
Coby White,No College
Victor Wembanyama,No College
Chet Holmgren,Gonzaga University
Karl-Anthony Towns,University of Kentucky
Myles Turner,No College
Bogdan Bogdanović,University of Texas at Austin
Jalen Brunson,No College
Jaylen Brown,Villanova University
Jerami Grant,"University of California, Berkeley (Cal)"
Dejounte Murray,Syracuse University
Jaren Jackson,University of Washington
Jalen Green,Michigan State University
Collin Sexton,No College
Damian Lillard,University of Alabama
Tyrese Maxey,Weber State University
Tobias Harris,University of Kentucky
Giannis Antetokounmpo,University of Tennessee
Joel Embiid,No College
