,Day,Platform,Campaign Name,Campaign Type,Impressions,Clicks,Conversions,Revenue,Spend,Region,AdCreative,CTR,CPA,CPC,CPM
0,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,102704,1593,157,"$3,910.74",2101.08,East Midlands,CreativeC,1.5510593550397258,13.382675159235669,1.3189453860640301,20.457625798410966
1,01/01/23,YouTube,YouTube-Retargeting,Retargeting,83904,1798,110,"$11,700.93",6955.66,East Midlands,CreativeC,2.142925247902365,63.23327272727273,3.8685539488320355,82.9002192982456
2,01/01/23,TikTok,TikTok-Prospecting,Prospecting,77023,2644,261,"$9,756.09",1471.76,North East,CreativeB,3.432740869610376,5.638927203065134,0.5566414523449319,19.108058631837242
3,01/01/23,YouTube,YouTube-Retargeting,Retargeting,34385,1570,42,"$4,341.76",101.55,London,CreativeC,4.565944452522903,2.4178571428571427,0.06468152866242038,2.9533226697687947
4,01/01/23,YouTube,YouTube-Prospecting,Prospecting,78641,2731,11,"$8,860.43",1337.07,West Midlands,CreativeA,3.4727432255439274,121.55181818181818,0.4895898938117905,17.002199870296664
5,01/01/23,Instagram,Instagram-Prospecting,Prospecting,30773,199,69,"$14,827.74",790.21,Northern Ireland,CreativeC,0.6466707828291034,11.45231884057971,3.9709045226130657,25.678679361778183
6,01/01/23,TikTok,TikTok-Prospecting,Prospecting,5975,1030,23,"$3,436.98",4396.73,Yorkshire and the Humber,CreativeA,17.23849372384937,191.16217391304346,4.268669902912621,735.8543933054392
7,01/01/23,TikTok,TikTok-Prospecting,Prospecting,87179,1678,186,"$9,456.90",3296.35,North East,CreativeB,1.9247754619805226,17.72231182795699,1.9644517282479141,37.811284827768155
8,01/01/23,TikTok,TikTok-Prospecting,Prospecting,70337,1279,185,"$12,905.36",3646.85,Scotland,CreativeC,1.8183886148115502,19.712702702702703,2.8513291634089133,51.848244878229096
9,01/01/23,YouTube,YouTube-Retargeting,Retargeting,21580,1870,35,"$4,518.35",4888.27,East Midlands,CreativeC,8.665430954587581,139.66485714285716,2.614048128342246,226.5185356811863
10,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,109234,1957,7,"$13,557.76",1046.09,East of England,CreativeC,1.791566728308036,149.44142857142856,0.5345375574859479,9.576597030228683
11,01/01/23,TikTok,TikTok-Prospecting,Prospecting,25177,203,59,"$2,327.64",4071.92,East of England,CreativeA,0.8062914564880644,69.01559322033899,20.05871921182266,161.73173928585612
12,01/01/23,YouTube,YouTube-Retargeting,Retargeting,46373,1722,51,"$6,887.01",2484.94,South East,CreativeC,3.71336769240722,48.7243137254902,1.443054587688734,53.585922843033664
13,01/01/23,Instagram,Instagram-Retargeting,Retargeting,116503,569,113,"$15,050.16",325.87,Yorkshire and the Humber,CreativeC,0.48839944035775906,2.8838053097345133,0.5727065026362039,2.7970953537677143
14,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,53473,435,38,"$8,711.35",2761.98,South West,CreativeA,0.813494660856881,72.68368421052632,6.349379310344828,51.651861687206626
15,01/01/23,Instagram,Instagram-Retargeting,Retargeting,30913,878,99,"$8,027.44",4460.01,West Midlands,CreativeB,2.840229029857989,45.050606060606064,5.079738041002278,144.2761944812862
16,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,12871,197,59,"$6,332.90",1749.13,London,CreativeC,1.5305726050811903,29.64627118644068,8.878832487309646,135.89697770181027
17,01/01/23,YouTube,YouTube-Retargeting,Retargeting,21822,2365,195,"$3,839.86",5228.07,South West,CreativeA,10.837686738154156,26.81061538461538,2.210600422832981,239.57794885894967
18,01/01/23,Facebook,Facebook-Prospecting,Prospecting,12776,1801,203,"$5,437.52",3897.58,East Midlands,CreativeB,14.096743894802755,19.199901477832512,2.16411993337035,305.0704445835942
19,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,96501,1777,198,"$9,612.46",7797.06,North West,CreativeA,1.8414316950083418,39.37909090909091,4.387765897580191,80.79771194080891
20,01/01/23,Instagram,Instagram-Retargeting,Retargeting,44216,178,45,"$6,180.07",3082.45,Wales,CreativeB,0.4025692057173874,68.49888888888889,17.317134831460674,69.71345214402027
21,01/01/23,YouTube,YouTube-Retargeting,Retargeting,24103,3679,83,"$1,399.18",3361.8,South West,CreativeC,15.263660125295605,40.503614457831326,0.9137809187279152,139.47641372443263
22,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,64327,73,128,"$2,891.13",6666.99,West Midlands,CreativeB,0.11348267446018001,52.085859375,91.3286301369863,103.64217202729802
23,01/01/23,Facebook,Facebook-Retargeting,Retargeting,76314,697,35,"$3,390.02",112.41,Wales,CreativeA,0.9133317608826689,3.2117142857142857,0.16127690100430417,1.47299315983961
24,01/01/23,Facebook,Facebook-Prospecting,Prospecting,67078,63,237,"$7,914.52",2362.89,East of England,CreativeB,0.09392051045052029,9.969999999999999,37.506190476190476,35.22600554578252
25,01/01/23,TikTok,TikTok-Prospecting,Prospecting,55608,1849,66,"$10,816.55",6313.97,West Midlands,CreativeB,3.3250611422816863,95.66621212121213,3.4148025959978368,113.54427420515034
26,01/01/23,TikTok,TikTok-Prospecting,Prospecting,79181,1636,228,"$7,780.53",1856.48,East Midlands,CreativeA,2.0661522334903575,8.142456140350877,1.1347677261613691,23.446028719010872
27,01/01/23,Instagram,Instagram-Retargeting,Retargeting,21533,1033,241,"$1,036.57",3720.96,North West,CreativeA,4.79728788371337,15.439668049792532,3.6020909970958375,172.80267496400873
28,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,17571,405,17,"$9,566.23",605.33,East of England,CreativeB,2.3049342666894312,35.60764705882353,1.4946419753086422,34.45051505321268
29,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,52782,3376,131,"$7,377.02",5681.92,East Midlands,CreativeB,6.3961198893562194,43.37343511450382,1.6830331753554502,107.64881967337351
30,01/01/23,TikTok,TikTok-Retargeting,Retargeting,43104,2175,18,$837.80,8192.39,Northern Ireland,CreativeA,5.045935412026726,455.13277777777773,3.7666160919540226,190.06101521900518
